Ticker,latest_price,return_1d,return_5d,return_1m,return_3m,return_6m,return_12m,ma50,ma200,above_50ma,above_200ma,drawdown_252d
XLK,180.77000427246094,0.0,-0.06419213135592317,0.022165666008802987,0.32306108691884194,0.218781046428405,0.4989740765566071,167.98860107421876,147.92457611083984,True,True,-0.0879874973546737
QQQ,707.8300170898438,0.0,-0.0442607700545089,-0.009626288524432813,0.19369830425501822,0.13069528512280582,0.33278908934653595,681.8283996582031,624.4694631958008,True,True,-0.051369622378903745
IWM,285.0199890136719,0.0,-0.023937606651099008,0.008313494443365377,0.1579017775173126,0.12430624954593639,0.3539406890813961,278.04860046386716,256.13818954467774,True,True,-0.024004416652149696
VTI,363.6700134277344,0.0,-0.026005654636288456,-0.002851520527843432,0.11860106191048514,0.08004655259389959,0.23861853330716842,356.2559991455078,337.0690168762207,True,True,-0.028555327337640435
SPY,737.0499877929688,0.0,-0.02646982307472101,-0.007086001512743745,0.11592033419686865,0.07806725732671738,0.23478135232581598,723.0973986816406,684.1465896606445,True,True,-0.029648379101463673
VEA,69.83999633789062,0.0,-0.027839645071712438,-0.011185062243353139,0.09619001954781847,0.13755135501690097,0.26717775143650013,69.32519973754883,64.02315214157105,True,True,-0.034292081960712206
VWO,58.45000076293945,0.0,-0.03084066602550739,-0.02485815645490519,0.08200666915283428,0.09235786648571809,0.22315918829636017,58.63519989013672,55.33236295700073,False,True,-0.044778524681540754
XLF,52.459999084472656,0.0,0.005173413774061553,0.02882913037099666,0.07853677102792278,-0.018111784572942713,0.044511505894637704,51.60839981079101,52.25968475341797,True,True,-0.06507694344079062
^TNX,4.5279998779296875,0.0,0.011391476150155233,0.010488714995672277,0.05670946071662897,0.08741590792416543,0.03924719044189362,4.420539979934692,4.211089988946915,True,True,-0.029783574977154337
XLV,154.57000732421875,0.0,0.016372997522252852,0.053575081798483914,0.0361536288340365,0.024493007488076035,0.14996471174141446,147.54680084228517,148.32349479675293,True,True,-0.031176993851212753
SGOV,100.47000122070312,0.0,0.0004979391821307022,0.0025797646715597367,0.008391621671622662,0.018012101761289978,0.03905587401175192,100.1630177307129,99.07644374847412,True,True,0.0
BIL,91.45999908447266,0.0,0.0005469360065675222,0.0026145427489991935,0.008262086264883894,0.017585752528739285,0.03837075547039981,91.18397521972656,90.21546756744385,True,True,0.0
XLE,57.38999938964844,0.0,-0.023148946559175543,-0.0041645267051639845,0.0011260006056885707,0.2615282959221237,0.36811377743762863,57.825800018310545,50.31613718032837,False,True,-0.0826406948553845
DX-Y.NYB,99.93299865722656,0.00023015708411899816,0.005260989597131838,0.014754216599959902,-0.004254702576007685,0.011569973996422567,0.020557603410164882,98.88926055908203,98.6425152206421,True,True,-0.005740756807684044
TLT,85.12000274658203,0.0,-0.004444412320678048,0.00772172594168441,-0.004933392423923877,-0.014070605589059038,0.02101972854253198,85.2495834350586,86.33663135528565,False,False,-0.04867414572220741
CL=F,91.05000305175781,0.011329604423981232,-0.02138862687218035,-0.0986932678936383,-0.07760101411975173,0.5574752733094255,0.33818344836293757,97.04220001220703,73.48519989013671,False,True,-0.19389105345898994
GLD,390.7799987792969,0.0,-0.049821262872876027,-0.09226481119791663,-0.15202672970083386,0.00444675759056623,0.25169757687311156,422.34259765625,406.8558001708984,False,False,-0.21197821417826146
^VIX,19.8700008392334,0.0,0.2902598267161338,0.11191941276292616,-0.2692166072470408,0.25998733433462085,0.10266372555349634,18.336200103759765,18.515300092697142,True,True,-0.360064369485812
